pl_name,hostname,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,sy_dist
HD 28109 b,HD 28109,0.1357,2.199,18.496,9.56,0.3307,98.7475,881.2,139.611
HD 28109 c,HD 28109,0.308,4.23,7.943,0.577,0.1203,29.9535,585.2,139.611
HD 28109 d,HD 28109,0.411,3.25,5.681,0.909,0.0864,17.3745,506.5,139.611
HD 3167 b,HD 3167,0.01796,1.67,4.97,5.6,0.0,1650.0,1774.0,47.2899
HD 3167 c,HD 3167,0.1776,3.0,11.13,2.11,0.06,16.9,564.0,47.2899
HD 3167 d,HD 3167,0.0763,1.92,4.33,3.36,0.12,88.9,859.5,47.2899
HD 332231 b,HD 332231,0.145,9.07303305,74.1,0.55,0.0,98.09,798.3,80.6665
HD 35843 c,HD 35843,0.25,2.54,11.32,3.8,0.153,11.3814,479.0,69.6026
HD 42618 b,HD 42618,0.554,3.89,14.4,1.34,0.19,3.16,337.0,24.3358
HD 42813 b,HD 42813,0.111,3.41,9.1,1.3,0.0,74.7,716.0,68.192
HD 48948 b,HD 48948,0.0652,2.06,4.88,3.07,0.055,138.85,957.0,16.9043
HD 48948 c,HD 48948,0.1951,2.6,7.27,2.27,0.55,15.5,553.0,16.9043
HD 48948 d,HD 48948,0.4894,3.24,10.59,1.71,0.055,2.46,349.0,16.9043
HD 5278 b,HD 5278,0.1202,2.45,7.8,2.9,0.08,132.0,943.0,57.5846
HD 56414 b,HD 56414,0.229,3.71,13.3,1.43,0.68,257.066,1133.0,272.217
HD 6061 b,HD 6061,0.06,2.42763557,10.0,3.82,0.0,339.1,1075.31,67.6203
HD 63433 b,HD 63433,0.072,2.16351593,37.3,20.15,0.0,145.5707,886.44,22.4035
HD 63433 c,HD 63433,0.146,2.58229101,17.2,5.43,0.0,35.3582,622.31,22.4035
HD 63935 b,HD 63935,0.083,2.91575244,10.5,2.32,0.0,115.6,825.22,48.9739
HD 63935 c,HD 63935,0.148,3.06451296,11.1,2.11,0.0,36.7,619.59,48.9739
HD 73344 b,HD 73344,0.131,2.884,10.48,2.451,0.03,111.9729,911.0,35.26
HD 73583 b,HD 73583,0.0604,2.79,10.2,2.58,0.09,43.3,714.0,31.5666
HD 73583 c,HD 73583,0.1242,2.39,9.7,3.88,0.08,10.2,498.0,31.5666
HD 77946 b,HD 77946,0.073,2.89646124,10.9,2.44,0.211,413.1008,1128.86,99.451
HD 7924 b,HD 7924,0.06,2.4,6.3566,2.53,0.06,113.7,825.9,16.9922
HD 7924 c,HD 7924,0.1134,2.72,7.86,2.15,0.098,28.35,583.6,16.9922
HD 7924 d,HD 7924,0.1551,2.42,6.44,2.5,0.21,15.17,499.0,16.9922
HD 86226 c,HD 86226,0.049,2.16,7.25,3.97,0.075,647.901,1311.0,45.683
HD 89345 b,HD 89345,0.1066,7.39794,34.9613,0.471,0.22,275.6427,1089.0,132.345
HD 93963 A b,HD 93963 A,0.02061,1.46954368,2.8,4.81,0.0,2898.0,1842.23,82.3432
HD 93963 A c,HD 93963 A,0.04726,3.11976057,18.4,3.31,0.0,543.8,1212.45,82.3432
HD 95338 b,HD 95338,0.262,3.89,42.44,3.98,0.197,7.42,385.0,36.9941
HD 97658 b,HD 97658,0.0805,2.12,8.3,4.8,0.05,41.924,751.0,21.5618
HIP 113103 c,HIP 113103,0.10479,2.4,6.35,2.52,0.17,180.487,585.0,46.2122
HIP 116454 b,HIP 116454,0.0792,2.469,9.7,3.53,0.215,51.2858,753.2,62.4491
HIP 67522 b,HIP 67522,0.0748,9.9872018,71.4,0.394,0.064,341.0878,1175.0,127.28
HIP 8152 b,HIP 8152,0.093,2.53625843,8.9,2.97,0.0,88.9,794.96,101.694
HIP 8152 c,HIP 8152,0.139,2.52442508,10.7,3.63,0.2,39.9,650.68,101.694
HIP 9618 b,HIP 9618,0.145,3.82838127,8.3,0.81,0.0,40.3,640.88,67.5478
HIP 9618 c,HIP 9618,0.269,3.42855926,7.0,1.0,0.0,11.7,470.31,67.5478
HIP 97166 b,HIP 97166,0.091,2.4801338,19.1,6.86,0.29,9.0686,701.66,65.9501
HN Lib b,HN Lib,0.1417,2.2,5.46,2.82,0.079,0.503,234.4,6.24442
HR 858 b,HR 858,0.04888,2.004,3.55,2.44,0.0,989.7,1552.0,31.964
HR 858 c,HR 858,0.0687,1.979,3.8,2.9,0.0,512.0,1309.0,31.964
HR 858 d,HR 858,0.1046,2.001,7.1,4.9,0.0,217.0,1061.0,31.964
K2-10 b,K2-10,0.137,3.84,27.0,2.6,0.31,54.1,703.0,272.36
K2-100 b,K2-100,0.0301,3.88,21.8,2.04,0.0,1915.0,1841.0,188.959
K2-104 b,K2-104,0.0242,1.79,3.86,3.7,0.09,62.1,798.0,189.289
K2-105 b,K2-105,0.0833,3.59,30.0,3.56,0.0,140.125,928.0,197.989
K2-108 b,K2-108,0.0581,5.33,59.4,2.22,0.18,762.0,1360.0,477.295
